time,latitude,longitude,depth,mag,place
2024-01-23 13:21:45.341000+00:00,9.4331,93.989,10.0,4.6,"281 km SSE of Port Blair, India"
2024-01-23 13:07:54.804000+00:00,9.5148,93.9579,10.0,4.5,"272 km SSE of Port Blair, India"
2024-01-23 05:12:00.608000+00:00,9.2344,93.901,10.0,4.3,"297 km SSE of Port Blair, India"
2024-01-22 20:07:23.967000+00:00,9.322,93.9969,10.0,4.4,"293 km SSE of Port Blair, India"
2024-01-21 04:06:23.723000+00:00,9.3399,93.9475,10.0,4.5,"288 km SSE of Port Blair, India"
2024-01-21 00:22:24.977000+00:00,8.793,94.0472,10.0,4.4,"Nicobar Islands, India region"
2024-01-20 01:36:11.203000+00:00,9.4409,94.0987,10.0,5.0,"287 km SSE of Port Blair, India"
2024-01-19 13:40:10.115000+00:00,9.7925,93.8927,10.0,4.3,"242 km SSE of Port Blair, India"
2024-01-19 08:19:50.553000+00:00,9.4803,93.8839,10.0,4.7,"271 km SSE of Port Blair, India"
2024-01-16 03:23:53.611000+00:00,33.1245,76.7306,10.0,4.1,"40 km SSW of Padam, India"
2024-01-15 13:42:34.566000+00:00,25.6032,93.2892,10.0,4.1,"20 km SE of Lumding Railway Colony, India"
2024-01-14 13:21:40.369000+00:00,24.2812,94.5378,92.954,4.0,"58 km SE of Wāngjing, India"
2024-01-10 02:23:44.173000+00:00,11.7494,93.2401,85.164,4.5,"54 km E of Port Blair, India"
2024-01-08 05:05:30.301000+00:00,11.7568,92.6708,35.31,4.6,"8 km NW of Bamboo Flat, India"
2024-01-03 19:08:16.618000+00:00,33.2551,76.7872,17.945,4.5,"25 km SSW of Padam, India"
2024-01-01 21:45:52.330000+00:00,26.0489,95.4358,82.85,4.5,"65 km ESE of Tuensang, India"
2023-12-25 23:03:56.507000+00:00,34.7111,76.7782,34.705,4.6,"24 km S of Thang, India"
2023-12-18 10:31:29.554000+00:00,33.1609,76.6962,10.0,4.8,"38 km SSW of Padam, India"
2023-12-18 10:27:11.437000+00:00,33.1492,76.6507,10.0,4.3,"41 km SSW of Padam, India"
2023-12-18 10:18:52.984000+00:00,33.1836,76.8401,10.0,5.1,"31 km S of Padam, India"
2023-12-13 16:22:04.474000+00:00,8.2884,91.1737,10.0,4.2,"Nicobar Islands, India region"
2023-12-08 03:16:57.576000+00:00,25.2901,91.786,46.386,4.2,"9 km E of Cherrapunji, India"
2023-12-05 14:45:03.410000+00:00,9.3573,93.9828,10.0,4.8,"289 km SSE of Port Blair, India"
2023-12-04 19:04:15.283000+00:00,27.8117,87.8388,70.467,4.4,"71 km NW of Gyalshing, India"
2023-11-30 13:42:32.361000+00:00,25.0005,95.5436,166.34,4.6,"128 km SE of Phek, India"
2023-11-29 08:12:24.794000+00:00,12.1737,95.2346,10.0,4.8,"276 km ENE of Port Blair, India"
2023-11-29 01:41:52.476000+00:00,24.4108,94.4578,73.909,4.2,"44 km ESE of Wāngjing, India"
2023-11-28 12:11:50.049000+00:00,25.1849,95.4219,10.0,4.6,"107 km ESE of Phek, India"
2023-11-26 19:24:22.473000+00:00,12.6576,95.2787,10.0,4.5,"296 km ENE of Port Blair, India"
2023-11-26 18:16:26.401000+00:00,12.6444,95.2808,10.0,4.3,"296 km ENE of Port Blair, India"
2023-11-20 20:01:32.421000+00:00,9.1066,93.993,10.81,4.3,"Nicobar Islands, India region"
2023-11-20 08:17:56.844000+00:00,27.257,96.995,10.0,4.7,"100 km SSE of Hayuliang, India"
2023-11-19 13:06:41.083000+00:00,9.4841,93.8259,100.6,4.3,"268 km SSE of Port Blair, India"
2023-11-16 04:04:18.591000+00:00,33.0154,76.2091,16.68,4.2,"46 km E of Bhadarwāh, India"
2023-11-11 14:37:18.293000+00:00,9.3023,94.0048,10.0,4.4,"295 km SSE of Port Blair, India"
2023-11-10 15:49:15.815000+00:00,12.5428,91.7107,10.0,4.4,"143 km NW of Bamboo Flat, India"
2023-11-09 20:55:05.871000+00:00,9.4971,94.0862,10.0,4.4,"281 km SSE of Port Blair, India"
2023-11-08 23:21:32.691000+00:00,13.4736,92.909,18.383,4.5,"197 km N of Bamboo Flat, India"
2023-11-07 00:02:12.657000+00:00,7.3119,91.6874,10.0,4.6,"Nicobar Islands, India region"
2023-11-03 19:39:09.153000+00:00,26.4186,96.6025,118.316,4.2,"31 km NW of Sarupathar, India"
2023-11-01 12:51:15.409000+00:00,10.9291,93.063,93.275,4.9,"88 km SSE of Port Blair, India"
2023-10-27 23:23:47.733000+00:00,26.2481,95.5087,79.962,4.8,"68 km E of Tuensang, India"
2023-10-26 18:29:02.059000+00:00,26.7385,96.8669,52.637,4.3,"59 km N of Sarupathar, India"
2023-10-20 00:20:08.653000+00:00,13.9893,92.8694,15.998,4.4,"253 km N of Bamboo Flat, India"
2023-10-18 13:25:10.787000+00:00,9.4496,93.9888,10.0,4.4,"280 km SSE of Port Blair, India"
2023-10-16 23:13:31.567000+00:00,9.3696,94.0097,10.254,4.5,"289 km SSE of Port Blair, India"
2023-10-14 21:53:08.277000+00:00,31.8115,79.3974,10.0,4.3,"140 km N of Joshīmath, India"
2023-10-08 13:37:04.576000+00:00,31.7268,79.3465,10.0,4.5,"131 km N of Joshīmath, India"
2023-10-08 08:10:48.987000+00:00,11.8926,92.3616,22.675,4.4,"44 km WNW of Bamboo Flat, India"
2023-10-08 00:04:56.398000+00:00,8.5748,94.2956,10.0,4.2,"Nicobar Islands, India region"
2023-10-08 00:03:03.557000+00:00,8.7033,94.2213,10.369,4.4,"Nicobar Islands, India region"
2023-10-07 23:57:26.766000+00:00,9.2935,93.8804,10.0,4.5,"290 km SSE of Port Blair, India"
2023-10-07 21:49:41.275000+00:00,9.2548,93.8582,10.0,4.6,"293 km SSE of Port Blair, India"
2023-10-02 14:29:30.012000+00:00,26.0535,97.0376,10.0,4.4,"28 km SE of Sarupathar, India"
2023-10-02 12:45:15.979000+00:00,25.9206,90.5798,10.0,4.9,"28 km S of Goālpāra, India"
2023-09-28 07:28:10.958000+00:00,9.3063,94.1254,10.0,4.3,"Nicobar Islands, India region"
2023-09-27 23:46:44.280000+00:00,29.7208,94.6666,10.0,4.0,"135 km NNE of Shi Yomi, India"
2023-09-17 06:37:58.353000+00:00,24.5796,94.7033,10.119,4.2,"64 km E of Wāngjing, India"
2023-09-16 11:23:56.315000+00:00,30.5044,94.8956,10.0,4.0,"224 km NNE of Shi Yomi, India"
2023-09-11 17:32:00.809000+00:00,24.3645,94.8511,110.242,5.0,"83 km ESE of Wāngjing, India"
2023-09-10 04:01:10.909000+00:00,30.3231,94.7822,10.0,4.4,"202 km NNE of Shi Yomi, India"
2023-09-10 00:10:51.381000+00:00,30.4554,94.829,10.0,4.6,"217 km NNE of Shi Yomi, India"
2023-09-09 10:18:30.146000+00:00,24.6464,92.7849,47.764,4.8,"19 km ENE of Lāla, India"
2023-09-08 19:33:41.473000+00:00,30.3347,94.8244,34.851,4.8,"204 km NNE of Shi Yomi, India"
2023-09-03 09:59:03.213000+00:00,9.2199,93.8879,10.0,4.7,"298 km SSE of Port Blair, India"
2023-09-01 05:27:51.913000+00:00,9.4069,93.8627,10.0,4.2,"278 km SSE of Port Blair, India"
2023-08-28 22:20:12.739000+00:00,11.1246,93.6704,125.227,4.3,"117 km ESE of Port Blair, India"
2023-08-23 13:24:21.524000+00:00,9.1639,93.8846,10.0,4.2,"Nicobar Islands, India region"
2023-08-23 13:13:33.336000+00:00,9.0904,93.8083,10.0,4.4,"Nicobar Islands, India region"
2023-08-22 18:46:54.966000+00:00,30.3642,94.8494,31.914,4.9,"208 km NNE of Shi Yomi, India"
2023-08-19 23:06:55.832000+00:00,30.2806,94.9315,10.0,4.6,"201 km NNE of Shi Yomi, India"
2023-08-19 15:20:35.313000+00:00,26.3499,92.845,35.0,4.8,"31 km S of Tezpur, India"
2023-08-19 14:46:08.434000+00:00,30.3522,94.7507,10.0,5.0,"205 km N of Shi Yomi, India"
2023-08-18 07:32:38.219000+00:00,9.1561,93.9692,10.0,4.7,"Nicobar Islands, India region"
2023-08-18 06:40:50.838000+00:00,9.0272,93.9337,10.0,4.6,"Nicobar Islands, India region"
2023-08-18 06:37:33.342000+00:00,9.5714,93.9359,10.0,4.7,"265 km SSE of Port Blair, India"
2023-08-14 14:49:48.667000+00:00,24.9796,92.2481,36.648,5.3,"16 km NW of Karīmganj, India"
2023-08-14 11:12:21.187000+00:00,9.254,93.9135,10.0,4.8,"295 km SSE of Port Blair, India"
2023-08-14 10:33:27.596000+00:00,11.2401,91.8215,18.719,4.6,"110 km WSW of Bamboo Flat, India"
2023-08-10 21:25:57.660000+00:00,9.5521,93.8372,10.0,4.5,"Nicobar Islands, India region"
2023-08-10 18:13:36.311000+00:00,10.4485,93.4368,116.866,4.1,"154 km SSE of Port Blair, India"
2023-08-09 17:44:20.929000+00:00,32.5435,78.602,14.338,4.7,"137 km NE of Sarāhan, India"
2023-08-08 19:29:05.114000+00:00,9.0073,93.9087,10.0,4.5,"Nicobar Islands, India region"
2023-08-07 07:26:45.464000+00:00,9.1429,93.6252,10.0,4.5,"295 km SSE of Port Blair, India"
2023-08-07 07:23:21.808000+00:00,9.1915,93.7124,10.0,5.0,"293 km SSE of Port Blair, India"
2023-08-06 09:45:46.310000+00:00,9.1768,93.8337,10.0,4.4,"299 km SSE of Port Blair, India"
2023-08-05 20:04:11.934000+00:00,30.2183,80.7013,10.0,4.3,western Xizang-India border region
2023-08-05 09:09:25.957000+00:00,11.8507,92.0472,10.0,4.8,"74 km WNW of Bamboo Flat, India"
2023-08-03 11:39:02.737000+00:00,9.0897,93.5963,10.0,4.8,"Nicobar Islands, India region"
2023-08-02 22:47:31.055000+00:00,8.4732,92.8663,51.605,4.2,"Nicobar Islands, India region"
2023-08-02 01:07:17.066000+00:00,9.5163,94.0695,10.0,5.2,"278 km SSE of Port Blair, India"
2023-08-02 00:10:11.622000+00:00,9.3458,93.9282,10.0,5.3,"287 km SSE of Port Blair, India"
2023-08-01 23:07:34.572000+00:00,9.5049,93.7127,10.0,4.3,"261 km SSE of Port Blair, India"
2023-08-01 13:38:51.353000+00:00,9.2693,93.9045,10.0,4.5,"293 km SSE of Port Blair, India"
2023-07-30 18:33:44.613000+00:00,30.3618,94.8769,10.0,4.8,"208 km NNE of Shi Yomi, India"
2023-07-30 04:15:11.184000+00:00,30.3856,94.8507,10.0,4.9,"210 km NNE of Shi Yomi, India"
2023-07-28 19:23:46.487000+00:00,10.5368,93.5418,88.891,5.9,"152 km SE of Port Blair, India"
2023-07-28 03:20:30.294000+00:00,30.2874,94.7327,10.0,4.6,"197 km N of Shi Yomi, India"
2023-07-27 22:16:52.885000+00:00,30.4008,94.4266,10.0,4.4,"207 km N of Shi Yomi, India"
2023-07-27 22:13:55.178000+00:00,30.35,94.8318,10.0,5.0,"206 km NNE of Shi Yomi, India"
2023-07-21 20:05:46.184000+00:00,25.1642,95.008,86.88,4.0,"75 km SE of Phek, India"
2023-07-20 22:39:44.949000+00:00,26.8685,75.8906,10.0,4.3,"11 km ESE of Jaipur, India"
2023-07-17 16:37:23.404000+00:00,33.1046,76.0979,10.0,4.2,"38 km ENE of Bhadarwāh, India"
2023-07-16 14:23:32.031000+00:00,25.722,91.3559,10.0,4.3,"24 km NNE of Nongstoin, India"
2023-07-13 05:02:32.249000+00:00,13.792,94.1092,39.377,4.5,"276 km NNE of Bamboo Flat, India"
2023-07-12 12:26:47.093000+00:00,25.0831,95.4345,9.904,4.3,"114 km SE of Phek, India"
2023-07-10 00:13:43.298000+00:00,33.2711,75.8514,25.38,4.2,"9 km ESE of Kishtwār, India"
2023-07-10 00:08:53.217000+00:00,33.2332,75.9099,27.461,4.9,"15 km SE of Kishtwār, India"
2023-07-10 00:01:47.570000+00:00,13.1442,93.2891,35.0,4.2,"171 km NNE of Bamboo Flat, India"
2023-07-07 05:20:53.879000+00:00,31.536,78.3517,10.0,4.3,"53 km E of Sarāhan, India"
2023-07-04 07:25:32.260000+00:00,26.5274,96.3583,89.642,4.6,"57 km NW of Sarupathar, India"
2023-06-30 05:44:02.011000+00:00,26.9851,96.6035,10.0,4.4,"88 km NNW of Sarupathar, India"
2023-06-26 18:05:37.303000+00:00,9.3365,93.7769,10.0,4.6,"281 km SSE of Port Blair, India"
2023-06-26 13:32:03.058000+00:00,9.2868,93.5555,10.0,4.9,"277 km SSE of Port Blair, India"
2023-06-26 12:52:59.977000+00:00,13.7408,92.7235,10.0,4.7,"225 km N of Bamboo Flat, India"
2023-06-26 11:32:02.555000+00:00,8.7087,93.955,10.0,4.3,"Nicobar Islands, India region"
2023-06-21 02:10:42.233000+00:00,9.1371,93.367,10.0,4.5,"287 km SSE of Port Blair, India"
2023-06-17 22:20:24.254000+00:00,33.0208,75.9599,10.0,4.3,"23 km ENE of Bhadarwāh, India"
2023-06-17 16:25:33.967000+00:00,33.2377,75.9002,10.0,4.3,"14 km SE of Kishtwār, India"
2023-06-16 04:46:11.360000+00:00,24.7339,92.0224,10.0,5.0,India-Bangladesh border region
